suite,tick,mean_gap
c5_robotaxi,0,-0.08349999999999996
c5_robotaxi,1,-0.12574074074074074
c5_robotaxi,2,-0.041805555555555506
c5_robotaxi,3,-0.03545238095238098
c5_robotaxi,4,-0.012687969924812045
c5_robotaxi,5,-0.039368686868686865
c5_robotaxi,6,-0.03214387464387467
c5_robotaxi,7,-0.004038461538461546
c5_robotaxi,8,-0.0260959595959596
c5_robotaxi,9,-0.02727472527472526
c5_robotaxi,10,-0.03277777777777776
c5_robotaxi,11,-0.05913510101010102
c5_robotaxi,12,0.002762237762237718
c5_robotaxi,13,-0.04761752136752138
c5_robotaxi,14,-0.03154882154882155
c5_robotaxi,15,-0.04109848484848485
c5_robotaxi,16,-0.05197979797979798
c5_robotaxi,17,-0.03993006993006994
c5_robotaxi,18,-0.014688644688644689
c5_robotaxi,19,-0.0527871148459384
c5_ethereum,0,0.0025000000000000577
c5_ethereum,1,-0.06711111111111112
c5_ethereum,2,-0.0505925925925926
c5_ethereum,3,-0.03410256410256407
c5_ethereum,4,-0.049203703703703694
c5_ethereum,5,-0.055277777777777815
c5_ethereum,6,-0.03882326007326009
c5_ethereum,7,-0.0468855218855219
c5_ethereum,8,-0.04795454545454544
c5_ethereum,9,-0.019085858585858578
c5_ethereum,10,-0.049433048433048445
c5_ethereum,11,0.003194444444444463
c5_ethereum,12,-0.05952020202020205
c5_ethereum,13,-0.046621212121212174
c5_ethereum,14,-0.05719780219780224
c5_ethereum,15,-0.08200320512820518
c5_ethereum,16,-0.18628478057889827
c5_ethereum,17,-0.2585128205128206
c5_ethereum,18,-0.3012282828282829
c5_ethereum,19,-0.36328472222222224
