base,mode,action,share_pct
robotaxi,on,LIMIT,25.25606750542774
robotaxi,on,MARKET,2.2276418113856966
robotaxi,on,CANCEL,6.258148243020204
robotaxi,on,HOLD,7.349112121912985
robotaxi,on,SPLIT,6.0001657958241
robotaxi,on,MERGE,0.07645259938837921
robotaxi,on,UPDATE_BELIEF,52.8324119230409
robotaxi,off,LIMIT,22.16626698641087
robotaxi,off,MARKET,1.1933310494461573
robotaxi,off,CANCEL,8.771268699326255
robotaxi,off,HOLD,0.8787255909558068
robotaxi,off,SPLIT,3.2665296334361087
robotaxi,off,MERGE,0.0
robotaxi,off,UPDATE_BELIEF,63.7238780404248
ethereum,on,LIMIT,26.71394840795483
ethereum,on,MARKET,2.171815407521878
ethereum,on,CANCEL,6.2763911297603725
ethereum,on,HOLD,5.559361927362688
ethereum,on,SPLIT,3.34081025137615
ethereum,on,MERGE,0.07698229407236336
ethereum,on,UPDATE_BELIEF,55.86069058195171
ethereum,off,LIMIT,22.65038164628329
ethereum,off,MARKET,0.775219012923931
ethereum,off,CANCEL,8.501351663919971
ethereum,off,HOLD,0.3148581837106427
ethereum,off,SPLIT,2.8102683089021885
ethereum,off,MERGE,0.15652557319223984
ethereum,off,UPDATE_BELIEF,64.79139561106774
