config,market_key,n_agents,n_ticks,truth_label,signal_mu,start_mid,end_mid,drift,direction_score,distance_to_truth,volatility,max_abs_step,n_fills,fills_per_agent_tick,notional,notional_per_agent,active_trade_fill_rate,cancel_per_fill,price_response_per_1k_notional,pnl_mean,pnl_std,pnl_spread
c4_ethereum_natural_s0,ethereum,20,20,NO 结局，YES=0.00,0.5795,0.58,0.35,-0.23,0.23,0.35,0.0255,0.1,44,0.11,960.3967,48.0198,0.2222,2.9318,0.2395,-9.6201,575.913,2547.7163
c4_ethereum_concentrated_s0,ethereum,20,20,NO 结局，YES=0.00,0.5795,0.585,0.565,-0.02,0.02,0.565,0.0106,0.03,83,0.2075,817.4603,40.873,0.3843,1.3855,0.0245,2.9773,50.5881,182.0524
c4_ethereum_uniform_s0,ethereum,20,20,NO 结局，YES=0.00,0.5795,0.585,0.55,-0.035,0.035,0.55,0.0144,0.035,41,0.1025,863.3885,43.1694,0.1952,3.122,0.0405,-9.7937,1154.5216,5194.7075
c4_robotaxi_natural_s0,robotaxi,20,20,YES 结局=1.00,0.4187,0.49,0.39,-0.1,-0.1,0.61,0.0123,0.035,39,0.0975,588.5361,29.4268,0.1765,3.1282,0.1699,4.7812,44.2544,132.3789
c4_robotaxi_concentrated_s0,robotaxi,20,20,YES 结局=1.00,0.4187,0.48,0.39,-0.09,-0.09,0.61,0.0328,0.08,33,0.0825,501.103,25.0551,0.1493,3.6667,0.1796,9.2237,39.6249,122.1129
c4_robotaxi_uniform_s0,robotaxi,20,20,YES 结局=1.00,0.4187,0.5,0.355,-0.145,-0.145,0.645,0.0194,0.065,56,0.14,759.9825,37.9991,0.2456,1.9107,0.1908,7.4002,60.5932,264.9113
c5_ethereum_on_s0,ethereum,20,20,NO 结局，YES=0.00,0.5795,0.575,0.35,-0.225,0.225,0.35,0.0651,0.26,51,0.1275,1071.5166,53.5758,0.2361,2.1961,0.21,-7.8935,63.346,203.4757
c5_ethereum_off_s0,ethereum,20,20,NO 结局，YES=0.00,0.5795,0.58,0.52,-0.06,0.06,0.52,0.0085,0.035,50,0.125,1094.4646,54.7232,0.2294,2.18,0.0548,-12.6981,702.302,3172.0194
c5_robotaxi_on_s0,robotaxi,20,20,YES 结局=1.00,0.4187,0.48,0.37,-0.11,-0.11,0.63,0.0306,0.1,56,0.14,1119.807,55.9904,0.2545,2.0179,0.0982,8.4852,137.3093,560.5156
c5_robotaxi_off_s0,robotaxi,20,20,YES 结局=1.00,0.4187,0.485,0.33,-0.155,-0.155,0.67,0.0203,0.045,51,0.1275,1228.1099,61.4055,0.2287,2.1961,0.1262,9.4737,266.2444,1132.5563
c6_ethereum_belief_on_s0,ethereum,20,20,NO 结局，YES=0.00,0.5795,0.575,0.535,-0.04,0.04,0.535,0.0126,0.03,76,0.19,1261.2685,63.0634,0.3455,1.3553,0.0317,-5.1648,95.5617,356.1835
c6_ethereum_belief_off_s0,ethereum,20,20,NO 结局，YES=0.00,0.5795,0.565,0.575,0.01,-0.01,0.575,0.0023,0.01,1,0.0025,44.827,2.2414,0.0345,8.0,0.2231,-2.2413,10.1326,45.3142
c6_robotaxi_belief_on_s0,robotaxi,20,20,YES 结局=1.00,0.4187,0.5,0.36,-0.14,-0.14,0.64,0.0163,0.05,66,0.165,1642.2791,82.114,0.307,1.6212,0.0852,9.2237,190.5898,673.5476
c6_robotaxi_belief_off_s0,robotaxi,20,20,YES 结局=1.00,0.4187,0.465,0.5,0.035,0.035,0.5,0.0048,0.015,6,0.015,197.1053,9.8553,0.06,2.8333,0.1776,4.4868,23.543,96.2281
