slug,win_idx,truth,y0,yf,toward,side_ok,cancel
dogecoin-above-0pt34-on-january-17,0,1.0,0.95,0.905,False,True,20.0
nba-por-mia-2025-01-21,0,1.0,0.215,0.24,True,False,9.6
will-yamand-orsi-win-the-2024-uruguay-pres,0,1.0,0.5,0.735,True,True,11.1
nba-gsw-min-2025-01-15,0,1.0,0.33,0.355,True,False,12.0
will-cducsu-and-spd-form-the-next-german-g,0,1.0,0.95,0.88,False,True,14.0
will-xrp-dip-to-1pt50-in-august-343-253-66,1,0.0,0.055,0.08,False,True,11.7
nba-phx-ind-2025-01-04,1,0.0,0.475,0.54,False,False,10.8
will-the-price-of-bitcoin-be-less-than-780,1,0.0,0.055,0.13,False,True,15.0
will-xrp-dip-to-1pt00-in-march,1,0.0,0.06,0.16,False,True,2.0
will-elon-musk-buy-msnbc-before-april-2025,1,0.0,0.055,0.055,False,True,0.0
