suite,name,n_act,yes_mid_final,signal_mu,dir_correct,cancel_pct,limit_pct,market_pct,hold_pct,belief_pct
b2,b2_s0,600,0.175,0.15,False,14.2,46.3,8.0,13.0,0.0
b2,b2_s1,600,0.265,0.15,False,12.3,45.3,5.8,25.3,0.0
b2,b2_s2,600,0.225,0.15,False,9.8,43.5,9.5,12.5,0.0
b3,b3_archetype_s0,600,0.28,0.15,False,15.2,47.5,7.0,14.2,0.0
b3,b3_archetype_s1,600,0.255,0.15,False,15.5,48.0,4.7,15.8,0.0
b3,b3_archetype_s2,600,0.195,0.15,False,12.3,46.3,5.8,18.7,0.0
b3,b3_marginal_s0,600,0.34,0.15,False,11.7,46.2,9.2,12.7,0.0
b3,b3_marginal_s1,600,0.285,0.15,False,16.3,47.0,5.3,16.3,0.0
b3,b3_marginal_s2,600,0.3,0.15,False,14.3,45.0,7.0,13.2,0.0
b3,b3_uniform_s0,600,0.235,0.15,False,17.2,44.7,6.3,16.2,0.0
b3,b3_uniform_s1,600,0.275,0.15,False,14.3,44.8,6.3,17.0,0.0
b3,b3_uniform_s2,600,0.165,0.15,False,14.0,46.7,5.5,22.2,0.0
b4,b4_belief_off_s0,600,0.265,0.15,False,13.3,46.0,6.5,17.3,0.0
b4,b4_belief_off_s1,600,0.265,0.15,False,12.8,48.7,3.7,20.5,0.0
b4,b4_belief_off_s2,600,0.235,0.15,False,11.2,43.8,10.0,13.0,0.0
b4,b4_belief_on_s0,647,0.245,0.15,False,6.2,28.0,3.7,1.1,45.3
b4,b4_belief_on_s1,639,0.24,0.15,False,8.3,25.8,3.4,4.9,50.4
b4,b4_belief_on_s2,640,0.215,0.15,False,6.9,28.6,4.7,3.8,40.8
b6,b6_control_s0,600,0.255,0.15,False,14.2,45.8,8.5,13.0,0.0
b6,b6_control_s1,600,0.245,0.15,False,16.8,50.0,4.5,16.3,0.0
b6,b6_control_s2,600,0.265,0.15,False,15.8,48.0,6.8,13.5,0.0
b6,b6_rumor_s0,600,0.255,0.15,False,14.8,51.0,5.2,15.8,0.0
b6,b6_rumor_s1,600,0.255,0.15,False,15.8,46.3,5.0,17.2,0.0
b6,b6_rumor_s2,600,0.225,0.15,False,14.7,45.0,7.2,13.3,0.0
